8783,19,15,0,5,0,6
11923,23,21,20,3,11,7
13281,23,12,8,15,0,12
22026,25,24,14,13,11,5
25278,24,18,12,6,0,0
25279,21,17,13,10,8,9
44342,14,5,11,11,13,10
47913,23,27,6,12,9,8
48013,23,0,19,15,15,16
56021,23,3,13,10,6,11
66923,17,6,3,7,3,0
67367,14,17,15,0,0,0
69320,15,7,4,3,4,5
75695,19,7,8,4,9,4
83515,22,18,13,11,4,6
97395,18,14,0,6,3,7
102865,17,15,8,2,4,5
108076,24,9,2,4,3,1
113126,21,14,9,14,8,6
115144,18,14,0,4,5,7
116645,20,24,14,16,8,0
132235,14,13,1,20,20,0
136389,22,19,13,4,4,4
142440,17,16,9,5,0,0
145878,19,21,8,6,4,17
147541,17,10,6,7,9,5
149727,12,11,2,0,2,0
152931,18,18,14,8,0,0
157531,19,11,3,0,0,0
163998,23,15,13,7,9,13
166849,19,14,18,7,0,0
178553,17,0,7,5,0,5
194122,20,5,10,7,9,3
199885,21,18,15,20,12,0
200600,20,14,19,11,14,13
209287,15,10,4,3,2,0
232300,24,23,0,18,0,23
236630,17,18,9,4,0,0
261454,20,18,12,7,6,7
263630,14,0,0,5,5,0
266496,23,19,18,8,9,12
278392,18,12,14,7,0,0
281888,18,15,0,0,0,0
294442,21,7,10,2,0,0
296026,21,0,0,0,0,0
298372,22,17,14,7,5,4
298588,22,18,0,0,0,0
317055,26,23,12,4,9,3
318688,17,19,6,1,7,4
321838,12,8,7,0,0,2
322900,24,22,0,17,18,18
323345,21,17,1,6,0,0
333354,19,19,9,6,5,6
333813,21,11,4,0,0,0
338919,22,24,17,12,9,11
352192,15,15,8,5,4,11
358271,17,6,0,0,3,1
359009,22,14,13,8,16,11
374835,26,11,15,5,0,0
375575,21,10,5,2,6,16
394362,21,20,11,0,0,0
409188,14,13,11,3,0,3
430390,10,0,0,0,0,0
437111,26,23,13,14,7,7
445649,21,19,10,9,7,9
449078,21,22,19,22,0,0
449763,20,13,6,3,2,5
455590,19,11,7,2,0,0
488190,17,16,10,0,6,0
491006,20,17,7,9,12,0
491095,17,0,0,0,0,0
503490,18,11,3,3,4,3
504356,20,15,10,1,2,0
504454,23,15,12,0,0,0
508907,12,0,10,0,5,0
509123,13,17,12,8,1,4
511838,19,8,0,8,0,1
520638,21,14,12,9,4,5
523489,22,19,19,10,8,12
525803,17,15,13,15,12,9
543710,14,15,10,7,7,6
545638,19,15,16,5,5,14
548612,20,19,13,6,3,5
550995,11,12,7,6,3,0
564737,13,8,0,0,3,0
570206,16,15,8,7,0,6
578841,22,15,17,7,7,3
581650,19,0,12,6,8,0
584887,11,0,0,0,0,0
589866,12,7,14,11,0,0
598214,22,17,0,11,0,5
600090,19,10,7,5,12,13
621690,18,11,6,0,4,4
634326,24,21,19,10,13,8
635763,24,13,12,12,12,9
640063,13,14,3,2,0,3
647647,22,21,6,0,0,6
652393,26,18,10,2,0,0
653822,16,11,11,9,8,7
655041,26,15,4,6,6,8
655077,15,0,0,0,0,0
673785,22,26,25,20,22,21
674897,23,22,0,0,0,0
675848,22,15,13,14,9,3
678193,24,24,21,13,0,0
683643,23,1,3,2,0,2
692952,14,9,8,4,3,3
702799,15,12,9,3,3,1
706628,20,20,9,2,6,4
712658,14,21,15,3,6,9
716838,19,15,7,3,7,5
717294,20,18,16,16,13,20
722963,18,19,17,13,17,18
723680,26,23,21,14,1,7
737445,22,9,3,0,0,0
739883,14,6,4,3,5,3
745545,17,13,8,9,4,3
759647,19,0,16,11,0,13
767159,25,22,15,5,5,11
774290,21,13,0,0,0,0
787086,23,19,14,9,9,13
822548,16,9,13,17,0,5
833342,22,15,14,0,0,0
836667,20,8,8,2,0,3
856106,20,11,13,0,0,0
857643,23,15,7,14,7,13
857783,20,10,15,3,13,8
858068,19,13,5,0,0,0
860946,25,2,7,6,0,17
867318,20,15,0,0,0,0
899682,23,12,0,4,2,4
912292,26,10,7,6,20,0
921823,14,0,0,0,0,0
926541,25,22,15,11,2,2
942777,21,7,0,0,6,4
959573,21,21,19,15,14,14
966394,27,7,14,5,3,1
970221,15,20,13,14,10,8
976402,22,17,0,3,10,10
999607,24,19,16,5,15,3
